Time;PIRP_value;Category
00:11:00;0;class 0
00:12:00;0;class 0
00:13:00;0;class 0
00:14:00;0;class 0
00:15:00;0;class 0
00:16:00;5;class 0
00:17:00;0;class 0
00:18:00;0;class 0
00:19:00;0;class 0
00:20:00;0;class 0
00:21:00;0;class 0
00:22:00;0;class 0
00:23:00;0;class 0
00:24:00;0;class 0
00:25:00;0;class 0
00:26:00;0;class 0
00:27:00;0;class 0
00:28:00;0;class 0
00:29:00;0;class 0
00:30:00;0;class 0
00:31:00;0;class 0
00:32:00;0;class 0
00:33:00;0;class 0
00:34:00;0;class 0
00:35:00;0;class 0
00:36:00;0;class 0
00:37:00;0;class 0
00:38:00;0;class 0
00:39:00;0;class 0
00:40:00;0;class 0
00:41:00;0;class 0
00:42:00;0;class 0
00:43:00;0;class 0
00:44:00;0;class 0
00:45:00;0;class 0
00:46:00;0;class 0
00:47:00;0;class 0
00:48:00;0;class 0
00:49:00;0;class 0
00:50:00;0;class 0
00:51:00;0;class 0
00:52:00;0;class 0
00:53:00;0;class 0
00:54:00;0;class 0
00:55:00;0;class 0
00:56:00;0;class 0
00:57:00;0;class 0
00:58:00;0;class 0
00:59:00;0;class 0
01:00:00;0;class 0
01:11:00;0;class 0
01:12:00;0;class 0
01:13:00;0;class 0
01:14:00;0;class 0
01:15:00;0;class 0
01:16:00;0;class 0
01:17:00;0;class 0
01:18:00;0;class 0
01:19:00;0;class 0
01:20:00;0;class 0
01:21:00;0;class 0
01:22:00;0;class 0
01:23:00;0;class 0
01:24:00;0;class 0
01:25:00;0;class 0
01:26:00;0;class 0
01:27:00;0;class 0
01:28:00;0;class 0
01:29:00;0;class 0
01:30:00;0;class 0
01:31:00;0;class 0
01:32:00;0;class 0
01:33:00;0;class 0
01:34:00;0;class 0
01:35:00;0;class 0
01:36:00;0;class 0
01:37:00;0;class 0
01:38:00;0;class 0
01:39:00;0;class 0
01:40:00;0;class 0
01:41:00;0;class 0
01:42:00;0;class 0
01:43:00;0;class 0
01:44:00;0;class 0
01:45:00;0;class 0
01:46:00;0;class 0
01:47:00;0;class 0
01:48:00;0;class 0
01:49:00;0;class 0
01:50:00;0;class 0
01:51:00;0;class 0
01:52:00;0;class 0
01:53:00;0;class 0
01:54:00;0;class 0
01:55:00;0;class 0
01:56:00;0;class 0
01:57:00;0;class 0
01:58:00;0;class 0
01:59:00;0;class 0
02:00:00;0;class 0
02:11:00;0;class 0
02:12:00;0;class 0
02:13:00;0;class 0
02:14:00;0;class 0
02:15:00;0;class 0
02:16:00;0;class 0
02:17:00;0;class 0
02:18:00;0;class 0
02:19:00;0;class 0
02:20:00;44;class 1
02:21:00;0;class 0
02:22:00;0;class 0
02:23:00;0;class 0
02:24:00;0;class 0
02:25:00;0;class 0
02:26:00;0;class 0
02:27:00;0;class 0
02:28:00;0;class 0
02:29:00;0;class 0
02:30:00;0;class 0
02:31:00;0;class 0
02:32:00;0;class 0
02:33:00;0;class 0
02:34:00;0;class 0
02:35:00;0;class 0
02:36:00;0;class 0
02:37:00;0;class 0
02:38:00;0;class 0
02:39:00;0;class 0
02:40:00;0;class 0
02:41:00;0;class 0
02:42:00;0;class 0
02:43:00;0;class 0
02:44:00;0;class 0
02:45:00;0;class 0
02:46:00;0;class 0
02:47:00;0;class 0
02:48:00;0;class 0
02:49:00;0;class 0
02:50:00;0;class 0
02:51:00;0;class 0
02:52:00;0;class 0
02:53:00;0;class 0
02:54:00;0;class 0
02:55:00;0;class 0
02:56:00;0;class 0
02:57:00;0;class 0
02:58:00;0;class 0
02:59:00;0;class 0
03:00:00;0;class 0
03:11:00;0;class 0
03:12:00;0;class 0
03:13:00;0;class 0
03:14:00;0;class 0
03:15:00;0;class 0
03:16:00;0;class 0
03:17:00;0;class 0
03:18:00;0;class 0
03:19:00;0;class 0
03:20:00;0;class 0
03:21:00;0;class 0
03:22:00;0;class 0
03:23:00;0;class 0
03:24:00;0;class 0
03:25:00;0;class 0
03:26:00;0;class 0
03:27:00;0;class 0
03:28:00;0;class 0
03:29:00;0;class 0
03:30:00;0;class 0
03:31:00;0;class 0
03:32:00;0;class 0
03:33:00;0;class 0
03:34:00;0;class 0
03:35:00;0;class 0
03:36:00;0;class 0
03:37:00;0;class 0
03:38:00;0;class 0
03:39:00;45;class 1
03:40:00;0;class 0
03:41:00;0;class 0
03:42:00;0;class 0
03:43:00;0;class 0
03:44:00;0;class 0
03:45:00;0;class 0
03:46:00;0;class 0
03:47:00;0;class 0
03:48:00;0;class 0
03:49:00;0;class 0
03:50:00;0;class 0
03:51:00;0;class 0
03:52:00;0;class 0
03:53:00;0;class 0
03:54:00;0;class 0
03:55:00;0;class 0
03:56:00;0;class 0
03:57:00;0;class 0
03:58:00;0;class 0
03:59:00;0;class 0
04:00:00;0;class 0
04:11:00;2;class 0
04:12:00;6;class 0
04:13:00;6;class 0
04:14:00;6;class 0
04:15:00;6;class 0
04:16:00;5;class 0
04:17:00;6;class 0
04:18:00;5;class 0
04:19:00;7;class 0
04:20:00;7;class 0
04:21:00;8;class 0
04:22:00;9;class 0
04:23:00;10;class 0
04:24:00;10;class 0
04:25:00;12;class 1
04:26:00;9;class 0
