;Time;PIRP_value;Category
155;03-16;0;class 0
156;03-17;0;class 0
157;03-18;0;class 0
158;03-19;0;class 0
159;03-20;0;class 0
160;03-21;0;class 0
161;03-22;0;class 0
162;03-23;0;class 0
163;03-24;0;class 0
164;03-25;0;class 0
165;03-26;0;class 0
166;03-27;0;class 0
167;03-28;0;class 0
168;03-29;0;class 0
169;03-30;0;class 0
170;03-31;0;class 0
171;03-32;0;class 0
172;03-33;0;class 0
173;03-34;0;class 0
174;03-35;0;class 0
175;03-36;0;class 0
176;03-37;0;class 0
177;03-38;0;class 0
178;03-39;0;class 0
179;03-40;0;class 0
180;03-41;0;class 0
181;03-42;0;class 0
182;03-43;0;class 0
183;03-44;0;class 0
184;03-45;0;class 0
185;03-46;0;class 0
186;03-47;0;class 0
187;03-48;0;class 0
188;03-49;0;class 0
189;03-50;0;class 0
190;03-51;0;class 0
191;03-52;0;class 0
192;03-53;7;class 0
193;03-54;0;class 0
194;03-55;0;class 0
195;03-56;0;class 0
196;03-57;0;class 0
197;03-58;0;class 0
198;03-59;0;class 0
199;04-00;0;class 0
200;04-11;0;class 0
201;04-12;1;class 0
202;04-13;2;class 0
203;04-14;2;class 0
204;04-15;3;class 0
205;04-16;4;class 0
206;04-17;107;class 2
207;04-18;5;class 0
208;04-19;7;class 0
209;04-20;8;class 0
210;04-21;9;class 0
211;04-22;11;class 1
212;04-23;12;class 1
213;04-24;13;class 1
214;04-25;15;class 1
215;04-26;14;class 1
216;04-27;17;class 1
217;04-28;19;class 1
218;04-29;21;class 1
219;04-30;24;class 1
220;04-31;25;class 1
221;04-32;25;class 1
222;04-33;27;class 1
223;04-34;33;class 1
224;04-35;37;class 1
225;04-36;40;class 1
226;04-37;40;class 1
227;04-38;44;class 1
228;04-39;50;class 1
229;04-40;53;class 1
230;04-41;52;class 1
231;04-42;61;class 1
232;04-43;61;class 1
233;04-44;67;class 1
234;04-45;68;class 1
235;04-46;68;class 1
236;04-47;68;class 1
237;04-48;79;class 1
238;04-49;82;class 1
239;04-50;78;class 1
240;04-51;87;class 1
241;04-52;84;class 1
242;04-53;90;class 1
243;04-54;90;class 1
244;04-55;66;class 1
245;04-56;95;class 1
246;04-57;98;class 1
247;04-58;100;class 1
248;04-59;99;class 1
249;05-00;113;class 2
250;05-11;138;class 2
251;05-12;136;class 2
252;05-13;144;class 2
253;05-14;153;class 2
254;05-15;151;class 2
255;05-16;160;class 2
256;05-17;149;class 2
257;05-18;166;class 2
258;05-19;160;class 2
259;05-20;170;class 2
260;05-21;180;class 2
261;05-22;184;class 2
262;05-23;187;class 2
263;05-24;190;class 2
264;05-25;192;class 2
265;05-26;193;class 2
266;05-27;192;class 2
267;05-28;191;class 2
268;05-29;181;class 2
269;05-30;199;class 2
270;05-31;182;class 2
271;05-32;120;class 2
272;05-33;120;class 2
273;05-34;124;class 2
274;05-35;121;class 2
275;05-36;100;class 1
276;05-37;135;class 2
277;05-38;154;class 2
278;05-39;195;class 2
279;05-40;123;class 2
280;05-41;70;class 1
281;05-42;0;class 0
282;05-43;0;class 0
283;05-44;65;class 1
284;05-45;161;class 2
285;05-46;107;class 2
286;05-47;171;class 2
287;05-48;197;class 2
288;05-49;76;class 1
289;05-50;66;class 1
290;05-51;66;class 1
291;05-52;80;class 1
292;05-53;110;class 2
293;05-54;159;class 2
294;05-55;243;class 2
295;05-56;265;class 2
296;05-57;268;class 2
297;05-58;226;class 2
298;05-59;126;class 2
299;06-00;95;class 1
300;06-11;256;class 2
301;06-12;313;class 2
302;06-13;301;class 2
303;06-14;303;class 2
304;06-15;303;class 2
305;06-16;303;class 2
306;06-17;320;class 2
307;06-18;323;class 2
308;06-19;332;class 2
309;06-20;329;class 2
310;06-21;345;class 2
311;06-22;323;class 2
312;06-23;349;class 2
313;06-24;344;class 2
314;06-25;297;class 2
315;06-26;283;class 2
316;06-27;0;class 0
317;06-28;322;class 2
318;06-29;322;class 2
319;06-30;322;class 2
320;06-31;373;class 2
321;06-32;355;class 2
322;06-33;341;class 2
323;06-34;358;class 2
324;06-35;399;class 2
325;06-36;353;class 2
326;06-37;363;class 2
327;06-38;399;class 2
328;06-39;398;class 2
329;06-40;398;class 2
330;06-41;392;class 2
331;06-42;423;class 2
332;06-43;410;class 2
333;06-44;378;class 2
334;06-45;405;class 2
335;06-46;336;class 2
336;06-47;369;class 2
337;06-48;367;class 2
338;06-49;380;class 2
339;06-50;385;class 2
340;06-51;347;class 2
341;06-52;363;class 2
342;06-53;438;class 2
343;06-54;440;class 2
344;06-55;415;class 2
345;06-56;464;class 2
346;06-57;489;class 2
347;06-58;460;class 2
348;06-59;410;class 2
349;07-00;459;class 2
350;07-11;480;class 2
351;07-12;496;class 2
352;07-13;347;class 2
353;07-14;356;class 2
354;07-15;343;class 2
355;07-16;436;class 2
356;07-17;515;class 2
357;07-18;495;class 2
358;07-19;527;class 2
359;07-20;469;class 2
360;07-21;458;class 2
361;07-22;423;class 2
362;07-23;415;class 2
363;07-24;327;class 2
364;07-25;318;class 2
365;07-26;318;class 2
366;07-27;331;class 2
367;07-28;330;class 2
368;07-29;252;class 2
369;07-30;288;class 2
370;07-31;341;class 2
371;07-32;370;class 2
372;07-33;579;class 2
373;07-34;567;class 2
374;07-35;508;class 2
375;07-36;508;class 2
376;07-37;362;class 2
377;07-38;341;class 2
378;07-39;436;class 2
379;07-40;501;class 2
380;07-41;449;class 2
381;07-42;462;class 2
382;07-43;508;class 2
383;07-44;557;class 2
384;07-45;630;class 2
385;07-46;629;class 2
386;07-47;545;class 2
387;07-48;473;class 2
388;07-49;352;class 2
389;07-50;377;class 2
390;07-51;408;class 2
391;07-52;408;class 2
392;07-53;818;class 2
393;07-54;500;class 2
394;07-55;519;class 2
395;07-56;659;class 2
396;07-57;622;class 2
397;07-58;675;class 2
398;07-59;662;class 2
399;08-00;539;class 2
400;08-11;478;class 2
401;08-12;418;class 2
402;08-13;413;class 2
403;08-14;493;class 2
404;08-15;523;class 2
405;08-16;436;class 2
406;08-17;436;class 2
407;08-18;430;class 2
408;08-19;485;class 2
409;08-20;684;class 2
410;08-21;694;class 2
411;08-22;658;class 2
412;08-23;203;class 2
413;08-24;465;class 2
414;08-25;380;class 2
415;08-26;391;class 2
416;08-27;399;class 2
417;08-28;353;class 2
418;08-29;352;class 2
419;08-30;547;class 2
420;08-31;511;class 2
421;08-32;556;class 2
422;08-33;576;class 2
423;08-34;601;class 2
424;08-35;601;class 2
425;08-36;756;class 2
426;08-37;747;class 2
427;08-38;747;class 2
428;08-39;653;class 2
429;08-40;705;class 2
430;08-41;794;class 2
431;08-42;594;class 2
432;08-43;594;class 2
433;08-44;769;class 2
434;08-45;668;class 2
435;08-46;658;class 2
436;08-47;587;class 2
437;08-48;423;class 2
438;08-49;598;class 2
439;08-50;468;class 2
440;08-51;607;class 2
441;08-52;625;class 2
442;08-53;767;class 2
443;08-54;851;class 2
444;08-55;746;class 2
445;08-56;756;class 2
446;08-57;762;class 2
447;08-58;605;class 2
448;08-59;484;class 2
449;09-00;362;class 2
450;09-11;429;class 2
451;09-12;582;class 2
452;09-13;582;class 2
453;09-14;857;class 2
454;09-15;868;class 2
455;09-16;868;class 2
456;09-17;881;class 2
457;09-18;807;class 2
458;09-19;807;class 2
459;09-20;577;class 2
460;09-21;584;class 2
461;09-22;616;class 2
462;09-23;617;class 2
463;09-24;691;class 2
464;09-25;711;class 2
465;09-26;789;class 2
466;09-27;768;class 2
467;09-28;608;class 2
468;09-29;501;class 2
469;09-30;483;class 2
470;09-31;813;class 2
471;09-32;584;class 2
472;09-33;492;class 2
473;09-34;380;class 2
474;09-35;517;class 2
475;09-36;549;class 2
476;09-37;396;class 2
477;09-38;419;class 2
478;09-39;504;class 2
479;09-40;680;class 2
480;09-41;750;class 2
481;09-42;532;class 2
